Year - Month,Carrier,Departures,Miles,Seats,Passengers,Seat Utilization,Payload (lbs),Freight (lbs),Mail (lbs)
2018-09,ExpressJet Airlines Inc. (Domestic),"15,391","7,292,962","830,230","615,132",74%,"177,568,500",0,0
2018-09,Federal Express Corporation (Domestic),"21,310","14,380,557",0,0,-,"1,775,340,462","983,129,381","11,136"
2018-09,Friday Harbor Seaplanes (Domestic),152,"12,160",912,509,56%,"209,760",0,0
2018-09,Frontier Airlines Inc. (Domestic),"9,995","10,067,460","1,891,206","1,551,679",82%,"378,888,000",0,0
2018-09,Frontier Airlines Inc. (Latin America),162,"229,050","36,452","29,835",82%,"7,295,200",0,0
2018-09,Gem Air LLC (Domestic),34,"5,372",172,86,50%,"48,941",50,0
2018-09,GoJet Airlines LLC d/b/a United Express (Domestic),"7,133","3,744,400","504,392","397,058",79%,"129,965,710",0,0
2018-09,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines","2,419","140,108","28,039","24,885",89%,"8,157,600",0,0
2018-09,Grand Canyon Helicopters (Domestic),32,"1,888",192,0,0%,"72,000",0,0
2018-09,Grant Aviation (Domestic),"3,801","248,516","29,652","9,974",34%,"6,688,500","120,857","617,034"
2018-09,Gulf And Caribbean Cargo (Domestic),140,"102,375",0,0,-,"4,493,100","544,759",0
2018-09,Hageland Aviation Service (Domestic),"8,230","697,165","63,534","23,215",37%,"22,433,050","440,305","2,536,489"
2018-09,Harris Air Services (Domestic),327,"22,133","2,781",861,31%,"543,500","5,292",0
2018-09,Hawaiian Airlines Inc. (Domestic),"6,885","4,785,517","1,069,196","777,127",73%,"304,796,700","12,227,274","114,176"
2018-09,Hawaiian Airlines Inc. (Pacific),16,"41,584","4,448","3,682",83%,"1,702,800","28,692","8,356"
2018-09,Horizon Air (Domestic),"8,757","3,241,321","665,532","512,076",77%,"159,778,000","291,947","79,100"
2018-09,Iliamna Air Taxi (Domestic),554,"65,556","4,107","1,562",38%,"1,186,300","49,759","35,870"
2018-09,Island Air Service (Domestic),"1,130","48,066","6,889","2,317",34%,"1,446,950","80,696","22,170"
2018-09,"Jet Aviation Flight Services, Inc. (Domestic)",395,"324,004","4,106","1,224",30%,"824,000",0,0
2018-09,JetBlue Airways (Domestic),"24,243","25,906,808","3,287,409","2,572,863",78%,"828,981,800",0,0
2018-09,"KaiserAir, Inc. (Domestic)",20,"39,168","1,312",395,30%,"882,000",0,0
2018-09,Kalinin Aviation LLC d/b/a Alaska Seaplanes (Domestic),"1,989","132,624","15,650","7,186",46%,"4,256,554","236,456","141,568"
2018-09,Kalitta Air LLC (Domestic),518,"630,816",0,0,-,"99,218,000","48,972,595","21,958"
2018-09,Kalitta Air LLC (International),3,"9,342",0,0,-,"748,000","667,351",0
2018-09,Kalitta Charters II (Domestic),304,"171,601",0,0,-,"14,443,460","5,536,531",0
2018-09,Katmai Air (Domestic),456,"32,079","3,643","2,432",67%,"852,115","31,553",0
2018-09,Kenmore Air Harbor (Domestic),"1,439","41,250","12,767","4,852",38%,"3,116,369","4,706",0
2018-09,Lynden Air Cargo Airlines (Domestic),206,"67,304",0,0,-,"9,682,000","3,730,808","1,093,424"
2018-09,Mesa Airlines Inc. (Domestic),"18,310","9,744,462","1,389,529","1,082,146",78%,"349,581,040","25,005","7,807"
2018-09,Miami Air International (Domestic),85,"65,748","14,795","4,784",32%,"3,612,500",0,0
2018-09,"Mokulele Flight Services, Inc. (Domestic)","3,429","255,360","30,861","18,112",59%,"14,401,800",0,0
2018-09,"Multi-Aero, Inc. d/b/a Air Choice One (Domestic)","1,144","256,784","9,152","6,359",69%,"2,082,080",0,0
2018-09,National Air Cargo Group Inc d/ba National Airlines (Do,25,"23,208","3,781","1,896",50%,"4,690,400","413,876",0
2018-09,New England Airlines Inc. (Domestic),954,"16,218","7,620","4,147",54%,"1,524,000","3,180",0
2018-09,Northern Air Cargo Inc. (Domestic),497,"207,305",0,0,-,"16,803,790","6,447,399","2,554,396"
2018-09,Omni Air International LLC (Domestic),44,"96,833","10,190","6,977",68%,"3,252,228","187,378",0
2018-09,Omni Air International LLC (International),5,"8,712","1,090",307,28%,"316,725",0,0
2018-09,"Pacific Airways, Inc. (Domestic)",694,"23,810","4,134","1,414",34%,"828,300","10,816","9,988"
2018-09,"Paklook Air, Inc d/b/a/ Airlift Alaska (Domestic)","2,445","99,061","12,894","3,589",28%,"2,363,900","75,372","184,056"
2018-09,Peninsula Airways Inc. (Domestic),629,"274,592","25,883","16,221",63%,"5,484,910","39,389","173,761"
2018-09,Piedmont Airlines (Domestic),"7,605","1,917,847","380,250","280,216",74%,"97,153,875","39,409","1,384"
2018-09,"PM Air, LLC (Domestic)",150,"10,500","1,500","1,177",78%,"330,000",0,0
2018-09,Polar Air Cargo Airways (Domestic),183,"496,715",0,0,-,"51,207,859","38,106,231",0
2018-09,PSA Airlines Inc. (Domestic),"21,770","8,510,613","1,425,636","974,516",68%,"387,634,970","114,901","25,590"
2018-09,"Reeve Air Alaska, LLC (Domestic)",16,"2,608",112,30,27%,"24,000",80,0
2018-09,Republic Airlines (Domestic),"25,035","14,781,411","1,854,677","1,351,827",73%,"554,971,650",0,0
2018-09,Rhoades Aviation dba Transair (Domestic),366,"49,317",0,0,-,"12,810,000","4,779,879",0
2018-09,Scott Air LLC dba Island Air Express (Domestic),583,"56,156","5,247","2,619",50%,"1,550,157","14,357","52,156"
2018-09,Seaborne Aviation (Domestic),649,"37,467","15,162","9,005",59%,"9,032,500",0,0
2018-09,Silver Airways (Domestic),"1,548","354,009","51,251","32,527",63%,"9,822,060",0,0
2018-09,Sky Lease Cargo (International),75,"200,078",0,0,-,"23,870,000","5,774,004",0
2018-09,SkyWest Airlines Inc. (Domestic),"62,820","30,047,269","3,939,414","3,054,772",78%,"923,596,665",0,0
2018-09,Smokey Bay Air Inc. (Domestic),"1,030","17,895","5,150","2,345",46%,"1,339,000","64,140","11,839"
2018-09,Southern Air Inc. (Domestic),281,"270,312",0,0,-,"33,631,820","11,647,301",0
2018-09,Southwest Airlines Co. (Domestic),"106,165","78,849,412","16,012,859","12,537,116",78%,"3,901,906,600","22,882,811",0
2018-09,Southwest Airlines Co. (Latin America),7,"2,107","1,033",750,73%,"251,000",0,0
2018-09,Spernak Airways Inc. (Domestic),453,"18,625","1,597",672,42%,"424,500","88,596","4,892"
2018-09,Spirit Air Lines (Domestic),"13,477","13,680,070","2,468,810","2,044,766",83%,"496,560,800",0,0
2018-09,Star Marianas Air Inc. (Domestic),"2,171","60,494","13,043","7,347",56%,"3,049,200","181,966",0
2018-09,Sun Air Express LLC dba Sun Air International (Domestic,"2,489","358,312","21,823","8,594",39%,"9,458,200",0,0
2018-08,ABX Air Inc (Atlantic),56,"98,094",0,0,-,"9,688,680","2,686,210",0
2018-08,ABX Air Inc (Domestic),854,"874,203",0,0,-,"163,323,540","48,198,026",0
2018-08,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,227,"67,427","11,350","7,185",63%,"2,899,925",0,0
2018-08,"Air Charter, Inc d/b/a Air Flamenco (Domestic)",305,"14,470","1,413",747,53%,"594,950","64,424","64,337"
2018-08,Air Excursions LLC (Domestic),354,"14,514","3,129","1,757",56%,"949,336","42,951","16,738"
2018-08,Air Sunshine Inc. (Domestic),62,"4,216",558,75,13%,"124,000",0,0
2018-08,Air Transport International (Domestic),"1,075","1,454,104",0,0,-,"181,373,000","52,670,968",0
2018-08,Air Wisconsin Airlines Corp (Domestic),"7,944","3,021,448","397,200","316,360",80%,"99,254,160",0,0
2018-08,Alaska Airlines Inc. (Domestic),"24,088","31,210,543","3,758,914","3,158,158",84%,"991,345,359","16,161,613","5,254,243"
2018-08,Alaska Central Express (Domestic),"1,303","414,801","2,272",951,42%,"7,226,816","1,306,664","1,556,437"
2018-08,Allegiant Air (Domestic),"8,394","7,167,823","1,429,020","1,185,888",83%,"286,682,400",0,0
2018-08,Aloha Air Cargo (Domestic),610,"91,136",0,0,-,"21,350,000","4,698,516","1,803,225"
2018-08,American Airlines Inc. (Domestic),"79,368","82,120,951","12,553,096","10,631,386",85%,"3,393,220,320","19,532,477","15,231,829"
2018-08,Amerijet International (Domestic),83,"89,681",0,0,-,"13,446,000","6,369,232",0
2018-08,Ameristar Air Cargo (Domestic),62,"49,339",360,139,39%,"1,358,356","160,947",0
2018-08,Arctic Transportation (Domestic),"1,508","130,048","1,865",354,19%,"5,456,200","1,016,278","839,652"
2018-08,Asia Pacific (International),30,"95,208",0,0,-,"1,740,000","312,423","522,854"
2018-08,Atlas Air Inc. (Domestic),"1,698","1,994,340","33,656","2,995",9%,"383,072,594","139,172,585",0
2018-08,Atlas Air Inc. (International),372,"621,441",0,0,-,"79,381,080","17,992,688",0
2018-08,Avjet Corporation (Domestic),102,"82,929",914,230,25%,"182,800",0,0
2018-08,Bemidji Airlines (Domestic),57,"9,154",15,0,0%,"159,000","43,804",0
2018-08,Bering Air Inc. (Domestic),"3,234","299,323","28,403","11,472",40%,"10,849,800","340,360","801,974"
2018-08,Boutique Air (Domestic),"2,796","643,573","22,368","15,275",68%,"4,518,400",0,0
2018-08,Cape Air (Domestic),"10,276","1,036,491","90,675","54,970",61%,"18,490,400",0,"89,162"
2018-08,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli",114,"74,566","17,670",0,0%,"3,990,000",0,0
2018-08,CFM Inc d/b/a Contour Airlines (Domestic),732,"231,782","14,827","8,666",58%,"4,153,975",0,0
2018-08,City Wings Inc dba Seaflight (Domestic),296,"13,320","2,664","2,135",80%,"734,080",0,0
2018-08,"Commutair Aka Champlain Enterprises, Inc. (Domestic)","4,360","1,394,283","218,000","179,614",82%,"55,699,000",0,0
2018-08,Compass Airlines (Domestic),"8,706","4,603,144","661,221","531,125",80%,"173,127,516",0,0
2018-08,Delta Air Lines Inc. (Domestic),"88,289","79,990,867","13,863,196","11,995,746",87%,"3,537,567,613","21,781,057","15,721,999"
2018-08,Delux Public Charter LLC (Domestic),953,"253,693","28,590","18,713",65%,"10,483,000",0,0
2018-08,"Dynamic Airways, LLC (Domestic)",8,"5,280","1,840",0,0%,"422,580",0,0
2018-08,Elite Airways LLC (Domestic),140,"137,235","7,140","3,540",50%,"1,942,000",0,0
2018-08,Ellis Air Taxi Inc. (Domestic),36,"3,672",154,94,61%,"38,292",538,"6,954"
2018-08,Empire Airlines Inc. (Domestic),"2,721","333,103","33,552","15,963",48%,"19,891,764","5,762,373",0
2018-08,Endeavor Air Inc. (Domestic),"21,766","10,248,241","1,488,136","1,213,125",82%,"410,537,814",330,0
2018-08,Envoy Air (Domestic),"25,330","11,267,648","1,423,996","1,106,838",78%,"354,324,190","66,136",28
2018-08,Era Aviation (Domestic),"2,099","406,747","70,303","45,623",65%,"16,246,260","1,393,605","133,164"
2018-08,ExpressJet Airlines Inc. (Domestic),"17,011","8,210,023","929,935","730,188",79%,"201,472,580",0,0
2018-08,Federal Express Corporation (Domestic),"24,114","15,911,514",0,0,-,"1,954,268,233","1,059,377,254","8,803"
2018-08,Friday Harbor Seaplanes (Domestic),282,"22,560","1,692","1,094",65%,"389,160",0,0
2018-08,Frontier Airlines Inc. (Domestic),"10,258","10,298,147","1,937,340","1,687,445",87%,"388,148,400",0,0
2018-08,Frontier Airlines Inc. (Latin America),207,"288,399","44,572","40,163",90%,"8,924,000",0,0
2018-08,Gem Air LLC (Domestic),0,0,0,0,-,0,0,0
2018-08,GoJet Airlines LLC d/b/a United Express (Domestic),"8,028","4,190,190","568,434","469,748",83%,"146,919,140",0,0
2018-08,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines","2,535","153,480","29,427","25,970",88%,"8,533,800",0,0
2018-08,Grand Canyon Helicopters (Domestic),0,0,372,0,0%,"74,400",0,0
2018-08,Grant Aviation (Domestic),"3,997","259,932","31,513","11,207",36%,"7,127,300","131,743","664,510"
2018-08,Gulf And Caribbean Cargo (Domestic),103,"72,101",0,0,-,"2,959,200","274,435",0
2018-08,Hageland Aviation Service (Domestic),"8,942","760,632","70,279","26,636",38%,"24,705,600","501,024","2,784,369"
2018-08,Harris Air Services (Domestic),353,"23,803","3,084",939,30%,"597,943","5,112",0
2018-08,Hawaiian Airlines Inc. (Domestic),"7,569","5,138,453","1,172,467","874,402",75%,"333,926,400","13,550,782","102,204"
