"Year...Month","Carrier","Departures","Miles","Seats","Passengers","Seat.Utilization"
"2018-06","Brussels Airlines N.V. (International)","121","457,432","33,397","28,729","86%"
"2018-06","Cape Air (Domestic)","9,274","953,963","81,738","47,924","59%"
"2018-06","Caribbean Airlines Limited (International)","601","1,011,028","92,554","66,613","72%"
"2018-06","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli","92","80,181","14,260","742","5%"
"2018-06","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli","247","192,604","38,285","19,515","51%"
"2018-06","CAT Aviation (International)","15","62,162","195","26","13%"
"2018-06","Cathay Pacific Airways Ltd. (International)","1,479","8,065,129","225,820","192,163","85%"
"2018-06","Cayman Airways Limited (International)","201","134,506","25,842","14,904","58%"
"2018-06","Cebu Air Inc d/b/a Cebu Pacific Air (International)","26","41,522","4,680","4,072","87%"
"2018-06","CFM Inc d/b/a Contour Airlines (Domestic)","1,118","444,376","20,429","11,543","57%"
"2018-06","Chartright Air Inc. (International)","149","94,541","1,068","510","48%"
"2018-06","China Airlines Ltd. (International)","1,083","5,360,993","88,406","71,795","81%"
"2018-06","China Eastern Airlines (International)","474","2,990,934","142,756","120,387","84%"
"2018-06","China Southern Airlines (International)","440","3,161,924","91,062","80,876","89%"
"2018-06","City Wings Inc dba Seaflight (Domestic)","286","12,870","2,574","2,005","78%"
"2018-06","Comlux Aruba NV (International)","3","18,878","264","56","21%"
"2018-05","40-Mile Air (Domestic)","44","3,896","176","45","26%"
"2018-05","ABC Aerolineas SA de CV dba Interjet (International)","1,629","2,229,513","244,350","178,106","73%"
"2018-05","ABS JETS A.S (International)","5","10,829","70","12","17%"
"2018-05","ACM AIR CHARTER GmbH (International)","5","22,726","70","9","13%"
"2018-05","Acropolis Aviation Ltd. (International)","2","5,849","38","14","37%"
"2018-05","Aer Lingus Plc (International)","864","3,101,522","236,023","193,395","82%"
"2018-05","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways","262","90,856","13,100","6,825","52%"
"2018-05","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus","175","226,200","31,500","24,323","77%"
"2018-05","Aeroflot Russian Airlines (International)","304","1,545,608","106,934","76,455","71%"
"2018-05","Aerolineas Argentinas (International)","176","829,768","47,742","38,761","81%"
"2018-05","Aerolitoral (International)","936","1,097,691","92,177","61,778","67%"
"2018-05","Aeromexico (International)","1,836","3,108,203","300,126","246,210","82%"
"2018-05","Aerovias de Intergracian Regional (International)","62","92,953","10,548","8,097","77%"
"2018-05","Aerovias Nacl De Colombia (International)","947","1,745,916","159,863","134,122","84%"
"2018-05","Air Alsie A/S (International)","18","58,353","228","53","23%"
"2018-05","Air Asia X Berhad dba Airasia X (International)","34","139,978","12,818","10,021","78%"
"2018-05","Air Busan (International)","45","80,640","8,775","7,204","82%"
"2018-05","Air Canada (International)","3,485","4,267,216","500,477","401,489","80%"
"2018-05","Air Canada rouge LP (International)","1,491","2,182,183","297,894","257,167","86%"
"2018-05","Air Charter, Inc d/b/a Air Flamenco (Domestic)","331","16,973","1,215","681","56%"
"2018-05","Air China (International)","776","4,618,959","193,664","150,719","78%"
"2018-05","Air Europa (International)","113","454,104","33,607","26,917","80%"
"2018-05","Air Excursions LLC (Domestic)","314","12,811","2,190","976","45%"
"2018-05","Air Georgian (International)","3,253","1,292,397","140,986","98,894","70%"
"2018-05","Air Japan Co (International)","62","236,778","15,252","11,439","75%"
"2018-05","Air New Zealand (International)","345","2,113,731","103,622","84,415","81%"
"2018-05","Air Pacific Ltd. (International)","104","488,676","25,650","18,203","71%"
"2018-05","Air Serbia (International)","24","108,264","6,080","5,195","85%"
"2018-05","Air Sunshine Inc. (Domestic)","310","38,316","2,232","1,179","53%"
"2018-05","Air Tahiti Nui (International)","131","601,020","38,776","33,721","87%"
"2018-05","Air Transat (International)","49","64,001","9,383","7,539","80%"
"2018-05","Air Wisconsin Airlines Corp (Domestic)","8,865","3,073,495","443,250","352,415","80%"
"2018-05","Alaska Airlines Inc. (Domestic)","23,588","30,532,710","3,689,147","3,059,303","83%"
"2018-05","Alaska Airlines Inc. (Latin America)","1,131","1,502,146","183,548","150,560","82%"
"2018-05","Alaska Central Express (Domestic)","1,186","370,612","544","272","50%"
"2018-05","Alia-(The) Royal Jordanian (International)","119","617,962","30,475","20,971","69%"
"2018-05","Allegiant Air (Domestic)","8,087","7,074,444","1,367,760","1,150,014","84%"
"2018-05","All Nippon Airways Co. (International)","868","4,873,076","208,832","154,408","74%"
"2018-05","American Airlines Inc. (Atlantic)","3,820","15,864,397","949,324","719,287","76%"
"2018-05","American Airlines Inc. (Domestic)","78,011","79,705,262","12,289,452","10,491,255","85%"
"2018-05","American Airlines Inc. (Latin America)","11,693","16,823,157","1,936,131","1,537,821","79%"
"2018-05","American Airlines Inc. (Pacific)","904","6,055,278","244,353","201,275","82%"
"2018-05","Ameristar Air Cargo (Domestic)","86","70,282","2,340","940","40%"
"2018-05","Arctic Transportation (Domestic)","1,512","120,131","3,164","415","13%"
"2018-05","Asiana Airlines Inc. (International)","957","4,000,241","171,855","143,846","84%"
"2018-05","Atlas Air Inc. (Domestic)","1,516","1,890,241","12,343","126","1%"
"2018-05","Atlas Air Inc. (International)","974","3,065,669","268","83","31%"
"2018-05","Austrian Airlines (International)","208","958,544","46,800","35,995","77%"
"2018-05","Avior Airlines, C.A. (International)","66","98,076","9,504","7,435","78%"
"2018-05","Avjet Corporation (Domestic)","98","103,122","960","285","30%"
"2018-05","Azerbaijan Airlines CJSC (International)","16","93,296","3,360","1,567","47%"
